datum,N02BE
01-01-2018,0
01-02-2018,38
01-03-2018,54
01-04-2018,39.2
01-05-2018,26
01-06-2018,73
01-07-2018,0
01-08-2018,29.6
01-09-2018,33.825
01-10-2018,44.5
01-11-2018,37.6
01-12-2018,42
01-13-2018,32
01-14-2018,36
01-15-2018,26
01-16-2018,18
01-17-2018,30.2
01-18-2018,58.4
01-19-2018,23.4
01-20-2018,38
01-21-2018,32.8
01-22-2018,29
01-23-2018,38.6
01-24-2018,32
01-25-2018,36.8
01-26-2018,62.2
01-27-2018,52.9
01-28-2018,55
01-29-2018,47.9
01-30-2018,37
01-31-2018,30.4
