TYPE,VOLUME.S,PRODUCTION
1,4.267097,6.1
1,4.584286,7
1,4.714839,8
1,5.667333,6.1
1,5.178065,7
1,4.706,8
1,4.844516,6.1
1,4.516129,7
1,5.117333,8
1,4.668065,6.1
1,5.743,7
1,4.764839,8
2,3.530516,6.1
2,4.743,7
2,3.60529,8
2,3.590767,6.1
2,3.339419,7
2,3.807533,8
2,4.275774,6.1
2,3.700613,7
2,3.833067,8
2,4.174194,6.1
2,3.516233,7
2,3.645935,8
3,3.262903,6.1
3,4.094643,7
3,3.945161,8
3,2.82,6.1
3,2.883871,7
3,2.893333,8
3,2.812903,6.1
3,2.846774,7
3,2.883333,8
3,2.453226,6.1
3,3.405,7
3,2.733871,8
4,36.59113,6.1
4,44.83479,7
4,32.22977,8
4,26.77623,6.1
4,20.7951,7
4,19.4781,8
4,21.91452,6.1
4,23.67219,7
4,35.2754,8
4,36.42823,6.1
4,33.17167,7
4,39.15968,8
5,7.387907,6.1
5,9.571429,7
5,12.29032,8
5,9.633333,6.1
5,8.354839,7
5,8.266667,8
5,9.129032,6.1
5,8.16129,7
5,8.766667,8
5,9.258065,6.1
5,8.406667,7
5,8.193548,8
